source,target,weight,common_tags
"aaron-krane
","martin-lorentzon
",0.0,
"aaron-krane
","matt-munson
",1.0,CEO
"aaron-krane
","matt-singer
",1.0,users
"aaron-krane
","mattan-griffel
",2.0,"CEO, quot"
"aaron-krane
","matthew-cottingham
",0.0,
"aaron-krane
","matthew-pangborn
",0.0,
"aaron-krane
","matthew-w-emmens
",1.0,CEO
"aaron-krane
","meishar-meiri
",0.0,
"aaron-krane
","merrick-furst
",2.0,"CEO, founders"
"aaron-krane
","michael-caranfa
",0.0,
"aaron-krane
","michael-d-taylor
",1.0,CEO
"aaron-krane
","michael-gile
",2.0,"CEO, company"
"aaron-krane
","michael-hirschbrich
",1.0,CEO
"aaron-krane
","michael-jelacic
",0.0,
"aaron-krane
","michael-l-canning
",1.0,CEO
"aaron-krane
","michael-m-campbell
",0.0,
"aaron-krane
","michael-reinicke
",0.0,
"aaron-krane
","michael-szabados
",0.0,
"aaron-krane
","michal-grzegorczyk
",0.0,
"aaron-krane
","miguel-de-buf
",0.0,
"aaron-krane
","mikael-ylinen
",0.0,
"aaron-krane
","mike-cartwright
",0.0,
"aaron-krane
","mike-riemer-2
",0.0,
"aaron-krane
","mike-zafirovski
",1.0,CEO
"aaron-krane
","minh-q-tran
",1.0,company
"aaron-krane
","mitch-davis
",1.0,CEO
"aaron-krane
","mohammed-hisamuddin
",0.0,
"aaron-krane
","mr-kenneth-galbraith
",0.0,
"aaron-krane
","ms-surekha-shetty
",0.0,
"aaron-krane
","nagendra-sirola
",0.0,
"aaron-krane
","nancy-schoendorf
",0.0,
"aaron-krane
","nathan-herald
",2.0,"company, users"
"aaron-krane
","nathaniel-landau
",1.0,company
"aaron-krane
","neal-cohen
",0.0,
"aaron-krane
","neng-bing-doh
",0.0,
"aaron-krane
","nick-stoumpas
",0.0,
"aaron-krane
","nicolaj-b-mllertz
",1.0,company
"aaron-krane
","nigel-brown
",1.0,time
"aaron-krane
","nikita-shamgunov
",0.0,
"aaron-krane
","nir-bejerano
",0.0,
"aaron-krane
","norm-fogelsong
",0.0,
"aaron-krane
","om-thoke
",2.0,"CEO, quot"
"aaron-krane
","ost2pst-software
",0.0,
"aaron-krane
","paige-craig
",1.0,CEO
"aaron-krane
","pankaj-shah
",0.0,
"aaron-krane
","parker-jones
",0.0,
"aaron-krane
","pat-garrehy
",2.0,"CEO, company"
"aaron-krane
","patrick-adams
",0.0,
"aaron-krane
","patrick-filler
",0.0,
"aaron-krane
","patrick-mcconlogue
",0.0,
"aaron-krane
","patrick-stonelake
",1.0,company
"aaron-krane
","paul-attard
",0.0,
"aaron-krane
","paul-choi
",1.0,CEO
"aaron-krane
","paul-english
",0.0,
"aaron-krane
","paul-n-clark
",2.0,"CEO, time"
"aaron-krane
","paul-tarjan
",0.0,
"aaron-krane
","paula-keve
",1.0,company
"aaron-krane
","pedro-surez
",0.0,
"aaron-krane
","pete-santhappan
",0.0,
"aaron-krane
","peter-braun
",0.0,
"aaron-krane
","peter-egan
",0.0,
"aaron-krane
","peter-harrington-4
",0.0,
"aaron-krane
","peter-ward-2
",0.0,
"aaron-krane
","philippe-vial-grelier
",1.0,CEO
"aaron-krane
","pierre-belichard
",0.0,
"aaron-krane
","pieter-van-der-does
",0.0,
"aaron-krane
","po-bronson
",0.0,
"aaron-krane
","rajan-agarwal
",2.0,"company, time"
"aaron-krane
","ralph-chu
",0.0,
"aaron-krane
","ramana-jampala
",0.0,
"aaron-krane
","ramsey-mcgrory
",2.0,"CEO, Yahoo"
"aaron-krane
","rasmus-mller-nielsen
",0.0,
"aaron-krane
","ravi-thummarukudy
",3.0,"CEO, Silicon Valley, millions"
"aaron-krane
","ray-wang
",0.0,
"aaron-krane
","reuben-antman
",1.0,company
